;Карковский О.;Крымский;Самыличев;Козлов;Плехов;Карковский Д.;Овсян;Павликов;Меренков;Гордеев;Федоров;TOTAL
Goal - Sv;0;1;0;0;0;0;0;0;0;0;0;1
Substitution;0;1;0;0;1;0;0;0;0;0;0;2
Ключевое действие - Положительное;0;0;0;1;0;0;0;0;0;0;0;1
Ключевое действие - Отрицательное;1;0;0;0;0;0;0;0;0;0;0;1
Отборы - Отобрал;7;0;9;5;5;4;3;0;2;6;2;43
Отборы - В аут;5;2;2;2;0;3;0;0;1;0;0;15
Пасы - Точный;21;12;26;13;15;17;11;11;14;9;5;154
Пасы - Неточный;4;4;13;5;4;9;7;0;5;2;1;54
Длинные передачи - Точные;5;0;1;0;1;0;0;1;0;0;1;9
Длинные передачи - Вынос;0;1;0;0;0;0;1;0;1;1;1;5
Длинные передачи - Неточные;3;0;1;1;1;0;0;2;0;0;0;8
Удары - В створ;1;1;1;0;0;0;0;0;0;0;0;3
Удары - Блок;1;1;1;1;0;1;1;0;0;1;0;7
Удары - Мимо;2;1;0;1;0;0;0;0;0;0;0;4
Фолы - Заработал;1;1;0;0;0;2;0;0;0;0;0;4
Фолы - Сфолил;0;0;2;0;1;0;0;0;0;0;0;3
Штрафные - Мимо;3;0;0;0;0;0;0;0;0;0;0;3
Вратарь - Сейв;0;0;0;0;0;0;0;9;0;0;0;9
Дриблинг - Успешно;1;1;6;0;1;1;1;0;0;0;0;11
Дриблинг - Потеря;0;2;1;0;1;3;2;0;1;2;0;12
TOTAL;55;28;63;29;30;40;26;23;24;21;10;349
Mins Played;84;69;88;61;49;84;54;88;52;38;37;88
